倒序	倒序 ‮
和諧號	和諧號 🚅
河豚	河豚 🐡
核辐射	核辐射 ☢
核輻射	核輻射 ☢
核武器	核武器 ☢
核子	核子 ⚛
核子能	核子能 ⚛
荷包	荷包 👝
荷包蛋	荷包蛋 🍳
荷兰	荷兰 🇳🇱
荷蘭	荷蘭 🇳🇱
荷属阿鲁巴	荷属阿鲁巴 🇦🇼
荷属沙巴	荷属沙巴 🇧🇶
荷属圣马丁	荷属圣马丁 🇸🇽
荷屬阿魯巴	荷屬阿魯巴 🇦🇼
荷屬沙巴	荷屬沙巴 🇧🇶
荷屬聖馬丁	荷屬聖馬丁 🇸🇽
盒饭	盒饭 🍱
盒飯	盒飯 🍱
贺礼	贺礼 🎁
賀禮	賀禮 🎁
黑方	黑方 ◼
黑旗	黑旗 🏴
黑山	黑山 🇲🇪
黑桃	黑桃 ♠
黑心	黑心 🖤
黑中有白	黑中有白 🔲
黑珠	黑珠 ⚫
黑子	黑子 ⚫
嘿嘿	嘿嘿 😈 😏
很棒	很棒 👍
很強	很強 👍
很强	很强 👍
哼	哼 😤 😾 🙄
红唇	红唇 💋
红酒	红酒 🍷
红酒杯	红酒杯 🍷
红绿灯	红绿灯 🚥 🚦
红娘	红娘 💘
红苹果	红苹果 🍎
红旗	红旗 🚩
红色书本	红色书本 📕
红薯	红薯 🍠
红桃	红桃 ♥
红心	红心 ♥ ❤
红叶	红叶 🍁
红中	红中 🀄
红珠	红珠 🔴
红子	红子 🔴
宏都拉斯	宏都拉斯 🇭🇳
洪都拉斯	洪都拉斯 🇭🇳
紅唇	紅唇 💋
紅酒	紅酒 🍷
紅酒杯	紅酒杯 🍷
紅綠燈	紅綠燈 🚥 🚦
紅娘	紅娘 💘
紅蘋果	紅蘋果 🍎
紅旗	紅旗 🚩
紅色書本	紅色書本 📕
紅薯	紅薯 🍠
紅桃	紅桃 ♥
紅心	紅心 ♥ ❤
紅葉	紅葉 🍁
紅中	紅中 🀄
紅珠	紅珠 🔴
紅子	紅子 🔴
虹	虹 🌈
猴	猴 🐒 🐵
猴脸	猴脸 🐵
猴臉	猴臉 🐵
猴年	猴年 🐵
猴头	猴头 🐵
猴頭	猴頭 🐵
猴子	猴子 🐒 🐵
猴子脸	猴子脸 🐵
猴子臉	猴子臉 🐵
后	后 ⬇
后退	后退 🔙
後	後 ⬇
後退	後退 🔙
呼机	呼机 📟
呼機	呼機 📟
呼救	呼救 🆘
蝴蝶结	蝴蝶结 🎀
蝴蝶結	蝴蝶結 🎀
虎	虎 🐅 🐯
虎脸	虎脸 🐯
虎臉	虎臉 🐯
虎年	虎年 🐯
虎头	虎头 🐯
虎頭	虎頭 🐯
花	花 🌷 🌸 🌹 🌺 🌼 💐
花豹	花豹 🐆
花朵	花朵 🌺 🌼
花瓶	花瓶 🏺
花洒	花洒 🚿
花灑	花灑 🚿
花束	花束 💐
花园	花园 ⛲
花园房	花园房 🏡
花園	花園 ⛲
花園房	花園房 🏡
花札牌	花札牌 🎴
滑板	滑板 🎨
滑冰	滑冰 ⛸
滑动开关	滑动开关 🎚
滑動開關	滑動開關 🎚
滑杆	滑杆 🎚
滑桿	滑桿 🎚
滑鼠	滑鼠 🖱
滑雪	滑雪 ⛷ 🎿 🏂
滑雪板	滑雪板 🎿 🏂
滑雪鞋	滑雪鞋 🎿
化学	化学 ⚗
化學	化學 ⚗
化妆室	化妆室 🚻
化妝室	化妝室 🚻
化粧室	化粧室 🚻
划船	划船 🚣
划艇	划艇 🚣
画	画 🎨
画笔	画笔 🖌
画画	画画 🎨
画家	画家 🎨
画框	画框 🖼
话筒	话筒 🎙 🎤
畫	畫 🎨
畫筆	畫筆 🖌
畫畫	畫畫 🎨
畫家	畫家 🎨
畫框	畫框 🖼
話筒	話筒 🎙 🎤
欢呼	欢呼 🙋
欢庆	欢庆 🎊 🙌
欢迎	欢迎 🙋
歡呼	歡呼 🙋
歡慶	歡慶 🎊 🙌
歡迎	歡迎 🙋
环保	环保 ♻
环扣	环扣 🔗
環保	環保 ♻
環扣	環扣 🔗
换汇	换汇 💱
换脸	换脸 🎭
換匯	換匯 💱
換臉	換臉 🎭
荒漠	荒漠 🏜
皇冠	皇冠 👑
黃蜂	黃蜂 🐝
黃昏	黃昏 🌆 🌇
黃菱	黃菱 🔶
黃色小菱形	黃色小菱形 🔸
黃絲帶	黃絲帶 🎗
黃心	黃心 💛
黃葉	黃葉 🍂
黄蜂	黄蜂 🐝
黄昏	黄昏 🌆 🌇
黄菱	黄菱 🔶
黄色小菱形	黄色小菱形 🔸
黄色心形	黄色心形 💛
黄丝带	黄丝带 🎗
黄心	黄心 💛
黄叶	黄叶 🍂
灰老鼠	灰老鼠 🐀
灰鼠	灰鼠 🐀
挥汗如雨	挥汗如雨 💦
挥拳	挥拳 👊
挥洒	挥洒 💦
挥手	挥手 👋
揮汗如雨	揮汗如雨 💦
揮拳	揮拳 👊
揮灑	揮灑 💦
揮手	揮手 👋
回到顶部	回到顶部 🔝
回到頂部	回到頂部 🔝
回到开始	回到开始 🔚
回到開始	回到開始 🔚
回民	回民 ☪
回收	回收 ♻
回纹针	回纹针 📎
回形针	回形针 📎
回形針	回形針 📎
回族	回族 ☪
迴紋針	迴紋針 📎
汇兑	汇兑 💱
绘画	绘画 🎨
彗星	彗星 ☄ 🌠
匯兌	匯兌 💱
繪畫	繪畫 🎨
婚礼	婚礼 🎎 💒
婚禮	婚禮 🎎 💒
魂	魂 👻
魂魄	魂魄 👻
混乱	混乱 🙃
混亂	混亂 🙃
活动	活动 ⛲ ⛺ ⛽ 🀄 🃏 🎒 🎠 🎡 🎢 🎣 🎤 🎥 🎦 🎨 🎪 🎫 🎬 💄 💅 💈 💉 💊 🗽 🛀
活動	活動 ⛲ ⛺ ⛽ 🀄 🃏 🎒 🎠 🎡 🎢 🎣 🎤 🎥 🎦 🎨 🎪 🎫 🎬 💄 💅 💈 💉 💊 🗽 🛀
活火山	活火山 🌋
火	火 🔥
火车	火车 🚂 🚄 🚅 🚆 🚉 🚊
火车头	火车头 🚂
火车站	火车站 🚉
火車	火車 🚂 🚄 🚅 🚆 🚉 🚊
火車頭	火車頭 🚂
火車站	火車站 🚉
火锅	火锅 🍲
火鍋	火鍋 🍲
火花	火花 ❇ 💥
火鸡	火鸡 🦃
火雞	火雞 🦃
火箭	火箭 🚀
火警	火警 🚨
火炉国	火炉国 🇸🇩
火爐國	火爐國 🇸🇩
火苗	火苗 🔥
火山	火山 🌋
火山喷发	火山喷发 🌋
火山噴發	火山噴發 🌋
火焰	火焰 🔥
火著	火著 🔥
货	货 🚚
货币	货币 💲
货币兑换	货币兑换 💱
货车	货车 🚚
货柜车	货柜车 🚜
货运	货运 🚚
获得	获得 🉐
貨	貨 🚚
貨幣	貨幣 💲
貨幣兌換	貨幣兌換 💱
貨車	貨車 🚚
貨櫃車	貨櫃車 🚜
貨運	貨運 🚚
獲得	獲得 🉐
击掌	击掌 ✋ 🖐
击中	击中 🎯
机场	机场 ✈
机灵	机灵 😉
机器人	机器人 🤖
肌	肌 💪
肌肉	肌肉 💪
鸡	鸡 🐓 🐔
鸡宝宝	鸡宝宝 🐤
鸡翅	鸡翅 🍗
鸡蛋饼	鸡蛋饼 🌮
鸡年	鸡年 🐔
鸡肉	鸡肉 🐓
鸡头	鸡头 🐔 🐤
鸡腿	鸡腿 🍖 🍗
鸡尾酒	鸡尾酒 🍸
鸡尾酒杯	鸡尾酒杯 🍸
鸡尾酒酒杯	鸡尾酒酒杯 🍸
鸡翼	鸡翼 🍗
基督教	基督教 ✝
基佬	基佬 👬
基里巴斯	基里巴斯 🇰🇮
基林	基林 🇨🇨
機場	機場 ✈
機靈	機靈 😉
機器人	機器人 🤖
擊掌	擊掌 ✋ 🖐
擊中	擊中 🎯
雞	雞 🐓 🐔
雞寶寶	雞寶寶 🐤
雞翅	雞翅 🍗
雞蛋餅	雞蛋餅 🌮
雞年	雞年 🐔
雞肉	雞肉 🐓
雞頭	雞頭 🐔 🐤
雞腿	雞腿 🍖 🍗
雞尾酒	雞尾酒 🍸
雞尾酒杯	雞尾酒杯 🍸
雞尾酒酒杯	雞尾酒酒杯 🍸
雞翼	雞翼 🍗
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉尔吉斯	吉尔吉斯 🇰🇬
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉尔吉斯坦	吉尔吉斯坦 🇰🇬
吉爾吉斯	吉爾吉斯 🇰🇬
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉里巴斯	吉里巴斯 🇰🇮
吉士	吉士 🍮
吉他	吉他 🎸
吉它	吉它 🎸
急救车	急救车 🚑
急救車	急救車 🚑
疾跑	疾跑 💨
几内亚	几内亚 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
几内亚比索	几内亚比索 🇬🇼
幾内亞	幾内亞 🇬🇳
幾內亞	幾內亞 🇬🇳
幾內亞比紹	幾內亞比紹 🇬🇼
幾內亞比索	幾內亞比索 🇬🇼
计程车	计程车 🚕 🚖
计时	计时 ⌛ ⏳
计时器	计时器 ⏲
计算机	计算机 🖥
记录	记录 📝
记事	记事 📝
记事簿	记事簿 📒
計程車	計程車 🚕 🚖
計時	計時 ⌛ ⏳
計時器	計時器 ⏲
計算機	計算機 🖥
記錄	記錄 📝
記事	記事 📝
記事簿	記事簿 📒
寄存	寄存 🛅
寄信	寄信 📫
祭典	祭典 🎆 💮
加	加 ➕
加号	加号 ➕
加號	加號 ➕
加密	加密 🔐
加拿大	加拿大 🇨🇦
加那利群岛	加那利群岛 🇮🇨
加那利群島	加那利群島 🇮🇨
加纳	加纳 🇬🇭
加納	加納 🇬🇭
加彭	加彭 🇬🇦
加蓬	加蓬 🇬🇦
加速	加速 ⏩
加油	加油 ⛽ 📣 😼
加油站	加油站 ⛽
迦纳	迦纳 🇬🇭
迦納	迦納 🇬🇭
家	家 🏠 🏡
家人	家人 👪 👫 👬 👭
家庭	家庭 👪
家有儿女	家有儿女 👨‍👩‍👧‍👦
家有兒女	家有兒女 👨‍👩‍👧‍👦
甲壳虫	甲壳虫 🐞
甲殻蟲	甲殻蟲 🐞
假面	假面 🎭
假笑	假笑 😏
奸笑	奸笑 😈
坚果	坚果 🌰
坚忍	坚忍 😣
间谍	间谍 👁 🕵
监听	监听 👁‍🗨
堅果	堅果 🌰
堅忍	堅忍 😣
間諜	間諜 👁 🕵
煎蛋	煎蛋 🍳
煎鸡蛋	煎鸡蛋 🍳
煎雞蛋	煎雞蛋 🍳
監聽	監聽 👁‍🗨
柬埔寨	柬埔寨 🇰🇭
减	减 ➖
减号	减号 ➖
减速	减速 ⏪
剪	剪 ✂
剪刀	剪刀 ✂ ✌
剪发	剪发 💇
剪髮	剪髮 💇
剪辑	剪辑 🎬
剪輯	剪輯 🎬
剪切板	剪切板 📋
剪贴板	剪贴板 📋
剪貼板	剪貼板 📋
剪头发	剪头发 💇
剪頭髮	剪頭髮 💇
剪子	剪子 ✂
減	減 ➖
減號	減號 ➖
減速	減速 ⏪
简直了	简直了 😱 🙀
簡直了	簡直了 😱 🙀
见鬼	见鬼 😨
見鬼	見鬼 😨
建设中	建设中 🏗
建設中	建設中 🏗
建筑	建筑 ⛪ 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏧 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰
建筑工地	建筑工地 🏗
建筑工人	建筑工人 👷
建築	建築 ⛪ 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏧 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰
建築工地	建築工地 🏗
建築工人	建築工人 👷
剑	剑 ⚔
溅	溅 💦
键板	键板 ⌨
键盘	键盘 ⌨
劍	劍 ⚔
箭	箭 🏹
箭头	箭头 ↖ ↗ ↘ ↙ ➡ ⬅ ⬆ ⬇
箭頭	箭頭 ↖ ↗ ↘ ↙ ➡ ⬅ ⬆ ⬇
鍵板	鍵板 ⌨
鍵盤	鍵盤 ⌨
濺	濺 💦
江豚	江豚 🐡
讲话	讲话 🗣
奖杯	奖杯 🏆
奖牌	奖牌 🏅
奖项	奖项 🏅
奖章	奖章 🏅
獎杯	獎杯 🏆
獎盃	獎盃 🏆
獎牌	獎牌 🏅
獎項	獎項 🏅
獎章	獎章 🏅
講話	講話 🗣
降低	降低 🔽
降落	降落 🛬
交通	交通 ⛵ ✈ 💺 🚀 🚁 🚂 🚃 🚄 🚅 🚇 🚈 🚉 🚊 🚌 🚍 🚎 🚏 🚐 🚑 🚒 🚓 🚔 🚕 🚖 🚗 🚘 🚙 🚚 🚜 🚝 🚞 🚟 🚠 🚡 🚢 🚣 🚤 🚥 🚦 🚧 🚨 🚲 🚴 🚶
交通标志	交通标志 🚥 🚧
交通標誌	交通標誌 🚥 🚧
交通灯	交通灯 🚥 🚦
交通燈	交通燈 🚥 🚦
交通工具	交通工具 🚄 🚌
交通号志	交通号志 🚥 🚦
交通號誌	交通號誌 🚥 🚦
胶卷	胶卷 🎞
胶囊	胶囊 💊
胶片	胶片 🎞
焦急	焦急 😰
焦糖奶油	焦糖奶油 🍮
膠卷	膠卷 🎞
膠囊	膠囊 💊
膠片	膠片 🎞
角色	角色 🎭 💃
狡黠	狡黠 🌝
脚步	脚步 👣
脚踏车	脚踏车 🚲
脚印	脚印 🐾 👣
搅基	搅基 👬
腳步	腳步 👣
腳踏車	腳踏車 🚲
腳印	腳印 🐾 👣
攪基	攪基 👬
轿车	轿车 🚗 🚘
教堂	教堂 ⛪
轎車	轎車 🚗 🚘
接电话	接电话 📲
接電話	接電話 📲
接纳	接纳 👐
接納	接納 👐
接受	接受 🉑
接吻	接吻 💋 💏 😘
节哀	节哀 💮
节哀顺变	节哀顺变 💮
节假日	节假日 🎌
节日	节日 🎌
结婚	结婚 ⛪ 🎎 👰
结婚戒指	结婚戒指 💍
结束	结束 🔚
结业式	结业式 🎓
捷克	捷克 🇨🇿
捷运	捷运 🚇
捷運	捷運 🚇
結婚	結婚 ⛪ 🎎 👰
結婚戒指	結婚戒指 💍
結束	結束 🔚
結業式	結業式 🎓
節哀	節哀 💮
節哀順變	節哀順變 💮
節假日	節假日 🎌
節日	節日 🎌
她	她 👤
她们	她们 👥
她們	她們 👥
姐弟	姐弟 👫
姐妹	姐妹 👭
姐妹情深	姐妹情深 👩‍❤‍👩
解锁	解锁 🔓
解鎖	解鎖 🔓
戒指	戒指 💍
借记卡	借记卡 💳
借記卡	借記卡 💳
金发	金发 👱
金发的人	金发的人 👱
金发男子	金发男子 👱
金髮	金髮 👱
金髮的人	金髮的人 👱
金髮男子	金髮男子 👱
金牛座	金牛座 ♉
金钱	金钱 💰 💲 💳 💴 💵 💶 💷 💸
金錢	金錢 💰 💲 💳 💴 💵 💶 💷 💸
金鑰	金鑰 🔑
金钥	金钥 🔑
津巴布韦	津巴布韦 🇿🇼
津巴布韋	津巴布韋 🇿🇼
紧急	紧急 🆘
紧张	紧张 💗 😓
谨言	谨言 🙊
緊急	緊急 🆘
緊張	緊張 💗 😓
謹言	謹言 🙊
近视	近视 👓
近视眼镜	近视眼镜 👓
近視	近視 👓
近視眼鏡	近視眼鏡 👓
进城务工人员	进城务工人员 👷
進城務工人員	進城務工人員 👷
禁	禁 🈲
禁打电话	禁打电话 📵
禁打電話	禁打電話 📵
禁丟垃圾	禁丟垃圾 🚯
禁丢垃圾	禁丢垃圾 🚯
禁声	禁声 🔇
禁聲	禁聲 🔇
禁行	禁行 ⛔ 🚷
禁行单车	禁行单车 🚳
禁行單車	禁行單車 🚳
禁烟	禁烟 🚭
禁菸	禁菸 🚭
禁煙	禁煙 🚭
禁用手机	禁用手机 📵
禁用手機	禁用手機 📵
禁止	禁止 ⛔ ✋ ❌ 🈲 🚫
禁止单车	禁止单车 🚳
禁止單車	禁止單車 🚳
禁止丢垃圾	禁止丢垃圾 🚯
禁止进入	禁止进入 ⛔
禁止進入	禁止進入 ⛔
禁止骑车	禁止骑车 🚳
禁止骑行	禁止骑行 🚳
禁止騎車	禁止騎車 🚳
禁止騎行	禁止騎行 🚳
禁止扔垃圾	禁止扔垃圾 🚯
禁止通话	禁止通话 📵
禁止通話	禁止通話 📵
禁止吸烟	禁止吸烟 🚭
禁止吸煙	禁止吸煙 🚭
禁止行人	禁止行人 🚷
禁止饮水	禁止饮水 🚱
禁止饮用	禁止饮用 🚱
禁止飲水	禁止飲水 🚱
禁止飲用	禁止飲用 🚱
惊悚	惊悚 😱 🙀
惊叹	惊叹 ‼ ❕ ❗
惊叹号	惊叹号 ❕ ❗
惊叹号加问号	惊叹号加问号 ⁉
惊问	惊问 ⁉
惊喜	惊喜 😃
惊吓	惊吓 🙀
惊讶	惊讶 ‼ ❕ ❗ 😺 🙀
惊讶怀疑	惊讶怀疑 ⁉
鲸	鲸 🐋 🐳
鲸鱼	鲸鱼 🐋 🐳
鲸鱼喷水	鲸鱼喷水 🐳
鲸鱼座	鲸鱼座 🔯
鯨	鯨 🐋 🐳
鯨魚	鯨魚 🐋 🐳
鯨魚噴水	鯨魚噴水 🐳
鯨魚座	鯨魚座 🔯
驚悚	驚悚 😱 🙀
驚嘆	驚嘆 ‼ ❕ ❗
驚嘆號	驚嘆號 ❕ ❗
驚嘆號加問號	驚嘆號加問號 ⁉
驚問	驚問 ⁉
驚喜	驚喜 😃
驚嚇	驚嚇 🙀
驚訝	驚訝 ‼ ❕ ❗ 😺 🙀
驚訝懷疑	驚訝懷疑 ⁉
井号键	井号键 #⃣
井號鍵	井號鍵 #⃣
警察	警察 👮 🚔
警车	警车 🚓 🚔
警车灯	警车灯 🚨
警車	警車 🚓 🚔
警車燈	警車燈 🚨
警灯	警灯 🚨
警燈	警燈 🚨
警告	警告 ⚠
警示	警示 ⚠
警示灯	警示灯 🚨
警示燈	警示燈 🚨
竞技场	竞技场 🏟
靓女	靓女 👩
靓瞎	靓瞎 😍 😻
靓仔	靓仔 👨
静音	静音 🔇
靚女	靚女 👩
靚瞎	靚瞎 😍 😻
靚仔	靚仔 👨
靜音	靜音 🔇
競技場	競技場 🏟
囧	囧 😅 😰 😳
窘	窘 😅
纠结	纠结 😂
糾結	糾結 😂
九	九 9⃣
九点	九点 🕘
九点半	九点半 🕤
九点钟	九点钟 🕘
九點	九點 🕘
九點半	九點半 🕤
九點鐘	九點鐘 🕘
九枝灯台	九枝灯台 🕎
九枝燈臺	九枝燈臺 🕎
酒杯	酒杯 🍷 🍸
酒店	酒店 🏨
酒馆	酒馆 🏮
酒館	酒館 🏮
酒瓶和酒杯	酒瓶和酒杯 🍶
酒水	酒水 🍶
旧房子	旧房子 🏚
旧屋	旧屋 🏚
救护车	救护车 🚑
救護車	救護車 🚑
救火	救火 🚒
救火车	救火车 🚒
救火車	救火車 🚒
救命	救命 🆘
就那样	就那样 😌 😏 😼
就那樣	就那樣 😌 😏 😼
舊房子	舊房子 🏚
舊屋	舊屋 🏚
居酒屋	居酒屋 🏮
居酒屋灯笼	居酒屋灯笼 🏮
居酒屋燈籠	居酒屋燈籠 🏮
鞠躬	鞠躬 🙇
桔子	桔子 🍊
橘色书本	橘色书本 📙
橘色書本	橘色書本 📙
橘子	橘子 🍊
沮丧	沮丧 🙍
沮喪	沮喪 🙍
举起拳头	举起拳头 ✊
举手	举手 🙋
举重	举重 🏋
舉起拳頭	舉起拳頭 ✊
舉手	舉手 🙋
舉重	舉重 🏋
巨石像	巨石像 🗿
巨蟹座	巨蟹座 ♋
拒绝	拒绝 ❌
拒絕	拒絕 ❌
拒马	拒马 🚧
拒馬	拒馬 🚧
聚会	聚会 🍻
聚會	聚會 🍻
卷饼	卷饼 🌯
卷动	卷动 📜
卷毛狗	卷毛狗 🐩
卷虾	卷虾 🍤
卷轴	卷轴 📜
卷軸	卷軸 📜
卷宗	卷宗 📜
捲餅	捲餅 🌯
捲動	捲動 📜
捲毛狗	捲毛狗 🐩
捲蝦	捲蝦 🍤
噘嘴	噘嘴 😗 😠 😡 😾 🙎
撅嘴	撅嘴 😗
菌	菌 🍄
菌类	菌类 🍄
菌類	菌類 🍄
咖啡	咖啡 ☕
咖喱饭	咖喱饭 🍛
咖喱飯	咖喱飯 🍛
咖哩饭	咖哩饭 🍛
咖哩飯	咖哩飯 🍛
喀麦隆	喀麦隆 🇨🇲
喀麥隆	喀麥隆 🇨🇲
卡车	卡车 🚛
卡車	卡車 🚛
卡达	卡达 🇶🇦
卡達	卡達 🇶🇦
卡片索引	卡片索引 📇
卡士达	卡士达 🍮
卡士達	卡士達 🍮
卡塔尔	卡塔尔 🇶🇦
卡塔爾	卡塔爾 🇶🇦
开车	开车 🚘
开饭	开饭 😋
开花	开花 🌼
开怀大笑	开怀大笑 😃
开曼群岛	开曼群岛 🇰🇾
开启	开启 🔛
开启资料夹	开启资料夹 📂
开始录像	开始录像 ⏺
开始录音	开始录音 ⏺
开锁	开锁 🔓
开玩笑	开玩笑 😜 😝
开心	开心 ☺ 😁 😃 😄 😆 😺
開車	開車 🚘
開飯	開飯 😋
開花	開花 🌼
開懷大笑	開懷大笑 😃
開曼群島	開曼群島 🇰🇾
開啓	開啓 🔛
開啟資料夾	開啟資料夾 📂
開始錄像	開始錄像 ⏺
開始錄音	開始錄音 ⏺
開鎖	開鎖 🔓
開玩笑	開玩笑 😜 😝
開心	開心 ☺ 😁 😃 😄 😆 😺
看	看 👀
看不懂	看不懂 😵
看不见	看不见 🙈
看不見	看不見 🙈
看电影	看电影 🎦
看電影	看電影 🎦
看守	看守 💂
看书	看书 📖 🤓
看書	看書 📖 🤓
考拉	考拉 🐨
考虑	考虑 💭
考慮	考慮 💭
烤薄饼	烤薄饼 🍕
烤薄餅	烤薄餅 🍕
烤地瓜	烤地瓜 🍠
烤红薯	烤红薯 🍠
烤紅薯	烤紅薯 🍠
烤鸡腿	烤鸡腿 🍖
烤雞腿	烤雞腿 🍖
靠	靠 😧
科科斯	科科斯 🇨🇨
科摩罗	科摩罗 🇰🇲
科摩羅	科摩羅 🇰🇲
科索沃	科索沃 🇽🇰
科特迪瓦	科特迪瓦 🇨🇮
科威科	科威科 🇰🇼
科威特	科威特 🇰🇼
科学	科学 🔬
科學	科學 🔬
磕头	磕头 🙇
磕頭	磕頭 🙇
可	可 🉑
可爱	可爱 🐶 💠 😊
可愛	可愛 🐶 💠 😊
可回收	可回收 ♻
可拉熊	可拉熊 🐨
可怕	可怕 😨 😱 🙀
可以	可以 🆗 👌 😉
可真	可真 😓
克尔白	克尔白 🕋
克爾白	克爾白 🕋
克罗埃西亚	克罗埃西亚 🇭🇷
克罗地亚	克罗地亚 🇭🇷
克羅埃西亞	克羅埃西亞 🇭🇷
克羅地亞	克羅地亞 🇭🇷
客轮	客轮 🛳
客輪	客輪 🛳
客气	客气 😎
客氣	客氣 😎
客人帐户	客人帐户 👤
客人帳戶	客人帳戶 👤
课本	课本 📖
課本	課本 📖
肯定	肯定 🙆
肯尼亚	肯尼亚 🇰🇪
肯尼亞	肯尼亞 🇰🇪
肯亚	肯亚 🇰🇪
肯亞	肯亞 🇰🇪
恳求	恳求 🙇 🙏
懇求	懇求 🙇 🙏
空	空 🈳
空气不好	空气不好 🌁
空气差	空气差 😷
空气污染	空气污染 🏭
空氣不好	空氣不好 🌁
空氣差	空氣差 😷
空氣污染	空氣污染 🏭
空位	空位 🈳
孔雀之国	孔雀之国 🇮🇳
孔雀之國	孔雀之國 🇮🇳
恐怖	恐怖 😱 🙀
恐惧	恐惧 😱
恐懼	恐懼 😱
口	口 👄
口岸	口岸 🛂
口红	口红 💄
口紅	口紅 💄
口罩	口罩 😷
扣在一起	扣在一起 🖇
枯叶	枯叶 🍂
枯葉	枯葉 🍂
哭	哭 😢 😭
哭了	哭了 😭
哭泣	哭泣 😢 😭 😿
哭笑	哭笑 😂 😹
骷髅	骷髅 💀
骷髅头	骷髅头 💀
骷髏	骷髏 💀
骷髏頭	骷髏頭 💀
苦恼	苦恼 😖
苦惱	苦惱 😖
苦笑	苦笑 😁 😼
库克群岛	库克群岛 🇨🇰
库拉索	库拉索 🇨🇼
庫克群島	庫克群島 🇨🇰
庫拉索	庫拉索 🇨🇼
裤	裤 👖
裤子	裤子 👖
酷	酷 🆒 😎
褲	褲 👖
褲子	褲子 👖
挎包	挎包 👜
快餐	快餐 🍱
快递	快递 📦 🚚
快递盒	快递盒 📦
快遞	快遞 📦 🚚
快遞盒	快遞盒 📦
快件	快件 📦
快进	快进 ⏩ 🔜
快進	快進 ⏩ 🔜
快跑	快跑 💨
快速	快速 🔜
快艇	快艇 🚤 🛥
快退	快退 ⏪
宽度	宽度 ↔
寬度	寬度 ↔
亏损	亏损 💸
亏损报表	亏损报表 📉
亏凸月	亏凸月 🌖
虧損	虧損 💸
虧損報表	虧損報表 📉
虧凸月	虧凸月 🌖
困	困 😞 😴
困惑	困惑 😖
困倦	困倦 😪 🙀
困觉	困觉 😴
困了	困了 😴
睏	睏 😞 😴
睏覺	睏覺 😴
睏了	睏了 😴
扩音喇叭	扩音喇叭 📢
扩音器	扩音器 📢 📣
擴音喇叭	擴音喇叭 📢
擴音器	擴音器 📢 📣
垃圾	垃圾 👎
垃圾入篓	垃圾入篓 🚮
垃圾入簍	垃圾入簍 🚮
垃圾桶	垃圾桶 🚮
垃圾筒	垃圾筒 🗑
拉弓	拉弓 🏹
拉拉	拉拉 👭
拉面	拉面 🍜
拉麵	拉麵 🍜
拉炮	拉炮 🎉
拉屎	拉屎 💩
拉脫維亞	拉脫維亞 🇱🇻
拉脱维亚	拉脱维亚 🇱🇻
拉脱維亞	拉脱維亞 🇱🇻
啦啦队	啦啦队 👯 📣
啦啦隊	啦啦隊 👯 📣
喇叭	喇叭 🎺 📢 📣
蜡笔	蜡笔 🖍
蜡烛	蜡烛 🕯
辣	辣 🌶
辣椒	辣椒 🌶
蠟筆	蠟筆 🖍
蠟燭	蠟燭 🕯
来信	来信 📨
来邮件	来邮件 📨
來信	來信 📨
來郵件	來郵件 📨
莱索托	莱索托 🇱🇸
萊索托	萊索托 🇱🇸
赖比瑞亚	赖比瑞亚 🇱🇷
赖索托	赖索托 🇱🇸
賴比瑞亞	賴比瑞亞 🇱🇷
賴索托	賴索托 🇱🇸
蓝菱	蓝菱 🔷
蓝色书本	蓝色书本 📘
蓝色小菱形	蓝色小菱形 🔹
蓝色心形	蓝色心形 💙
蓝心	蓝心 💙
蓝珠	蓝珠 🔵
蓝子	蓝子 🔵
篮球	篮球 🏀
藍菱	藍菱 🔷
藍色書本	藍色書本 📘
藍色小菱形	藍色小菱形 🔹
藍色心形	藍色心形 💙
藍心	藍心 💙
藍珠	藍珠 🔵
藍子	藍子 🔵
籃球	籃球 🏀
缆车	缆车 🚠 🚡
纜車	纜車 🚠 🚡
烂	烂 👎
烂房子	烂房子 🏚
烂玩意	烂玩意 😒
烂玩意儿	烂玩意儿 😒
爛	爛 👎
爛房子	爛房子 🏚
爛玩意	爛玩意 😒
爛玩意兒	爛玩意兒 😒
狼	狼 🐺
狼狗	狼狗 🐺
狼脸	狼脸 🐺
狼臉	狼臉 🐺
浪	浪 🌊
浪漫	浪漫 🌹 💋 💌 💍 💎 💏 💐 💑 💒 💓 💔 💕 💖 💗 💘 💙 💚 💛 💜 💝 💞 💟
劳动	劳动 ⚒
劳作	劳作 ⚒
勞動	勞動 ⚒
勞作	勞作 ⚒
老	老 👴 👵
老爸	老爸 👨
老豆	老豆 👨
老窦	老窦 👨
老竇	老竇 👨
老妇人	老妇人 👵
老婦人	老婦人 👵
老倌	老倌 👴
老虎	老虎 🐅 🐯
老虎机	老虎机 🎰
老虎機	老虎機 🎰
老虎脸	老虎脸 🐯
老虎臉	老虎臉 🐯
老妈	老妈 👩
老媽	老媽 👩
老母	老母 👩
老奶	老奶 👵
