# 单字全码
缤	bbaaoo
唧	jkoavv
跽	jkoiav
跻	jkoiov
蹐	jkoiuo
寂	jkooiv
悸	jkoouv
哜	jkoovu
寄	jkoovu
叽	jkouaa
剂	jkovii
戢	jkovii
齑	jkoviv
迹	jkovoa
咭	jkovoo
瘠	jkovov
麂	jkovua
脊	jkovuu
疾	jkovuv
几	jkuaaa
鱾	jkuaav
鲫	jkuaav
系	jkuaiu
急	jkuaoa
及	jkuaoo
鲚	jkuaov
饥	jkuaua
觭	jkuavu
祭	jkuavv
赍	jkuoao
鹡	jkuoua
戟	jkuova
肌	jkuuaa
徛	jkuuvu
季	jkuvai
稷	jkuvia
积	jkuvou
穄	jkuvua
笈	jkuvua
箕	jkuvvi
嵇	jkuvvu
犄	jkuvvu
稽	jkuvvu
笄	jkuvvv
籍	jkuvvv
辑	jkvaov
惎	jkvioa
期	jkviu
其	jkviuo
棘	jkvivi
基	jkvivo
墼	jkvivo
髻	jkvivo
吉	jkvooo
霁	jkvoov
圾	jkvoua
垍	jkvoui
楫	jkvovi
机	jkvuaa
殛	jkvuai
极	jkvuao
丌	jkvuii
剞	jkvuii
矶	jkvuua
奇	jkvuvo
击	jkvvia
玑	jkvvua
耤	jkvvvi
枅	jkvvvu
驹	jlaaua
沮	jlaiav
澽	jlaiva
泃	jlauao
娵	jlauvi
局	jlavao
剧	jlavii
居	jlavuo
屦	jlavuu
崌	jliaav
岨	jliaia
瞿	jliaio
雎	jliaio
䴗	jliaua
具	jliauo
岠	jliava
倨	jliavu
且	jliavv
俱	jliiav
苴	jliiia
莒	jliioo
蒟	jliiov
菊	jliiua
苣	jliiva
锔	jlioav
锯	jlioav
钜	jliova
据	jliuav
拘	jliuua
掬	jliuua
拒	jliuva
龃	jlivia
遽	jlivoa
裾	jloaav
讵	jloava
咀	jloiav
踞	jloiav
踽	jloiui
距	jloiva
惧	jlooia
窭	jlooou
举	jloovv
焗	jlouav
炬	jlouva
疽	jlovia
狙	jluaia
飓	jluaia
句	jluaoo
腒	jluavu
犋	jluvia
筥	jluvoo
矩	jluvva
秬	jluvva
榘	jluvvv
橘	jlvaoa
巨	jlvava
车	jlvavi
椐	jlvavu
醵	jlviiv
鞠	jlviua
鞫	jlviua
聚	jlviui
趄	jlvoia
榉	jlvoou
弆	jlvovu
枸	jlvuao
砠	jlvuia
柜	jlvvav
琚	jlvvav
桔	jlvvoo
缣	jmaaou
溅	jmaaov
缄	jmaavu
艰	jmaoav
涧	jmaoia
湔	jmaouv
贱	jmaovv
奸	jmauvv
渐	jmavai
建	jmavao
囝	jmiaai
睑	jmiaiv
见	jmiaua
健	jmiavv
监	jmiiia
茧	jmiiia
鉴	jmiiio
菅	jmiioo
蒹	jmiiou
俭	jmiivo
坚	jmiivo
荐	jmiivu
键	jmioav
锏	jmiooi
捡	jmiuiv
搛	jmiuou
拣	jmiuva
尖	jmiuvu
件	jmiuvv
僭	jmivau
剑	jmivii
牮	jmivuv
裥	jmoaoi
谫	jmoaou
肩	jmoauu
谏	jmoavi
踺	jmoiav
间	jmoioi
暕	jmoivi
趼	jmoivv
践	jmoivv
蹇	jmoooi
謇	jmooov
翦	jmouao
剪	jmouau
煎	jmouoo
鹣	jmouua
兼	jmouva
减	jmovvu
鲣	jmuaii
鳒	jmuaou
腱	jmuavv
饯	jmuavv
舰	jmuuia
毽	jmuvav
犍	jmuvav
笕	jmuvia
篯	jmuvio
简	jmuvoi
箭	jmuvou
笺	jmuvvv
楗	jmvavv
靬	jmvavv
柬	jmviao
枧	jmviau
鞬	jmviav
鞯	jmviii
槛	jmviiu
戬	jmviva
检	jmvivo
硷	jmvuiv
歼	jmvuuv
碱	jmvuvu
戋	jmvvau
陈	jnaiva
沉	jnaoau
瞋	jniauo
伧	jniiaa
抻	jniuia
尘	jniuvo
龀	jnivua
谶	jnoaii
衬	jnoavi
谌	jnoavi
晨	jnoivu
忱	jnoooa
宸	jnoovu
嗔	jnouoi
煁	jnouvi
疢	jnovou
称	jnuvua
梣	jnviai
臣	jnviav
趁	jnvoiu
榇	jnvovo
碜	jnvuao
辰	jnvuvv
郴	jnvvai
棽	jnvvio
琛	jnvvoa
淌	jpaiou
嫦	jpauio
娼	jpauoi
畅	jpiaau
菖	jpiioi
偿	jpiiou
苌	jpiiuv
常	jpioia
倡	jpioio
裳	jpioov
敞	jpiouv
氅	jpiouv
尝	jpiovv
伥	jpiuva
昶	jpoaoi
昌	jpoioi
阊	jpoioi
唱	jpooio
惝	jpooio
怅	jpoouv
鲿	jpuaio
猖	jpuaoi
鲳	jpuaoi
肠	jpuauu
鬯	jpuoua
徜	jpuuio
长	jpuvao
场	jpvoau
厂	jpvuu
玚	jpvvau
纠	jqaaai
酒	jqavia
㠇	jqiaov
旧	jqioii
僦	jqiovo
揪	jqiuuv
韭	jqivvv
阄	jqoiua
究	jqooua
啾	jqouvi
疚	jqovua
鹫	jqovua
就	jqovvu
九	jquaa
久	jquaoo
咎	jquaoo
灸	jquaou
鸠	jquaua
舅	jquiia
臼	jquiva
救	jqviuv
鬏	jqviuv
赳	jqvoai
厩	jqvuav
桕	jqvuiv
柩	jqvvua
玖	jqvvua
骋	jraaia
澄	jraaou
澂	jraiai
丞	jraiau
承	jraivv
蛏	jriaao
瞠	jriaio
铛	jrioio
牚	jriova
铖	jriovu
抢	jriuia
撑	jriuio
偁	jriuoo
裎	jroaov
诚	jroavu
晟	jroivu
憕	jrooao
宬	jroovu
逞	jrovoa
呈	jrovvi
庱	jrovvo
塍	jruouv
惩	jruuoa
乘	jruviv
程	jruvov
称	jruvua
秤	jruvvo
橙	jrvaou
柽	jrvaov
酲	jrviov
赪	jrvoiv
埕	jrvoov
城	jrvovu
成	jrvuaa
盛	jrvuia
枨	jrvuva
珵	jrvvov
琤	jrvvua
珹	jrvvvu
泇	jsaauo
驾	jsauaa
迦	jsauoa
加	jsauoo
嫁	jsauoo
袈	jsauov
架	jsauvv
叚	jsaviv
浃	jsavou
岬	jsiaia
伽	jsiauo
假	jsiavi
蛱	jsiavo
甲	jsiavv
茄	jsiiau
葭	jsiiav
价	jsiiui
荚	jsiivo
钾	jsioia
镓	jsiooo
铗	jsiovo
拮	jsiuvo
挟	jsiuvo
佳	jsivov
袷	jsoaiv
咖	jsoauo
跏	jsoiau
斝	jsoooo
家	jsoovu
痂	jsovau
瘕	jsovav
胛	jsuiav
笳	jsuvau
稼	jsuvoo
枷	jsvauo
贾	jsviao
郏	jsvoai
嘉	jsvoau
夹	jsvouv
颉	jsvovu
颊	jsvovu
戛	jsvuva
珈	jsvvau
槚	jsvvia
恝	jsvvoa
绢	jtaaou
涓	jtaouu
娟	jtauou
圈	jtiaou
隽	jtioau
镌	jtioio
锩	jtioou
倦	jtiouv
捐	jtiuou
卷	jtouaa
眷	jtouia
蠲	jtouia
焆	jtouou
鹃	jtouua
桊	jtouvv
狷	jtuaou
鄄	jtviai
骏	jwaaao
浚	jwaaou
纯	jwaava
淳	jwaovo
郡	jwavai
君	jwavoo
峻	jwiaao
畯	jwiaao
俊	jwiaou
蝽	jwiavv
莼	jwiiaa
莙	jwiiav
菌	jwiiia
葰	jwiiia
隽	jwioau
钧	jwioua
捃	jwiuav
皲	jwoaau
军	jwoava
晙	jwoiao
竣	jwovao
鹑	jwovua
麇	jwovuv
鲪	jwuaav
龟	jwuaia
䲠	jwuavv
朐	jwuuao
肫	jwuvai
䏝	jwuvva
筠	jwuvvo
醇	jwviov
均	jwvoua
唇	jwvuoo
珺	jwvvav
蠢	jwvvia
春	jwvvoi
椿	jwvvvv
瑃	jwvvvv
绛	jxaaua
缰	jxaavi
降	jxaiua
洚	jxauao
江	jxaviv
强	jxavoi
弶	jxavov
犟	jxavuv
疆	jxavvi
茳	jxiiav
蒋	jxiiov
僵	jxivia
讲	jxoavv
姜	jxouau
糨	jxouav
浆	jxovaa
将	jxovua
酱	jxovvi
奖	jxovvu
桨	jxovvv
鳉	jxuaov
膙	jxuava
豇	jxvovi
匠	jxvuuv
礓	jxvuvi
耩	jxvvvv
䌹	jyaaia
泂	jyaiao
迥	jyiaoa
冏	jyiauo
囧	jyiauo
扃	jyoaia
炅	jyoiou
窘	jyooav
炯	jyouia
颎	jyuavu
䐃	jyuiau
坰	jyvoia
巢	jzaaia
剿	jzaaii
绰	jzaaiv
潮	jzauoo
弨	jzavau
钞	jzioiu
抄	jziuiu
吵	jzoiuo
晁	jzoiuo
怊	jzooau
炒	jzouiu
焯	jzouiv
嘲	jzouoo
朝	jzuouu
超	jzvoau
耖	jzvviu
骙	kbaaao
溃	kbaiav
隗	kbaiui
戣	kbaova
睽	kbiaao
岿	kbiaiu
蝰	kbiavu
葵	kbiiao
蒉	kbiiia
揆	kbiuao
傀	kbiuia
暌	kboiao
喟	kboiav
跬	kboivo
悝	kbooia
愦	kbooia
愧	kbooui
窥	kboovv
夔	kbouui
煃	kbouvu
喹	kbovuo
馈	kbuaia
馗	kbuaou
魁	kbuioo
篑	kbuvia
匮	kbviav
聩	kbviia
逵	kbvooa
櫆	kbvuia
盔	kbvuia
奎	kbvuvo
亏	kbvvaa
眍	kdiavu
芤	kdiiai
蔻	kdiioo
扣	kdiuoo
抠	kdiuvu
叩	kdoaii
口	kdooo
寇	kdoovv
筘	kduviu
骒	keaaia
缂	keaavi
牁	keaivo
渴	keaoiu
溘	keavoa
髁	keiaia
蝌	keiauv
岢	keiavo
瞌	keiavo
蚵	keiavo
颗	keiavu
苛	keiivo
锞	keioia
铪	keioiv
钶	keiovo
课	keoaia
窠	keooia
喀	keoooa
客	keooua
恪	keooua
咳	keoova
炣	keouvo
刻	keovii
嗑	keovoa
呵	keovoi
疴	keovvo
颏	keovvu
克	keuoou
尅	keuovi
稞	keuvia
科	keuvoo
氪	keuvuo
轲	kevavo
棵	keviav
匼	kevivo
可	kevoii
壳	kevoua
坷	kevovo
磕	kevuvo
柯	kevvoi
珂	kevvvo
瞰	kfiaav
嵁	kfiavi
崁	kfiavo
莰	kfiivo
侃	kfioui
看	kfiuia
龛	kfivvu
阚	kfoiav
衎	kfuivv
勘	kfviau
槛	kfviiu
戡	kfviva
坎	kfvoua
堪	kfvovi
墈	kfvovi
砍	kfvuua
磡	kfvuvi
刊	kfvvii
浍	kgaivv
蒉	kgiiia
蒯	kgiiii
侩	kgiivv
㧟	kgiuav
郐	kgivai
会	kgivva
哙	kgoivv
快	kgooav
狯	kguaiv
鲙	kguaiv
脍	kguivv
筷	kguvoo
块	kgvoav
剀	khiaii
凯	khiaua
蒈	khiiva
铠	khioia
锎	khiooi
锴	khiova
揩	khiuva
闿	khoiia
慨	khooav
恺	khooia
忾	khoouv
炌	khouiu
垲	khvoia
楷	khvvau
开	khvvui
绔	kjaavu
圐	kjiaia
骷	kjiauo
苦	kjiiuo
裤	kjoaov
袴	kjoavu
窟	kjooav
喾	kjoouv
哭	kjoovu
库	kjovva
酷	kjviuv
堀	kjvoav
刳	kjvuii
枯	kjvuoo
矻	kjvuuv
蛞	kliauv
扩	kliuov
括	kliuuv
阔	kloiau
廓	klovov
纩	kmaaov
贶	kmaoou
洭	kmavvv
眶	kmiavv
诳	kmoaua
诓	kmoavv
旷	kmoiov
邝	kmovai
况	kmovou
哐	kmovvv
狂	kmuavv
筐	kmuvvv
圹	kmvoov
矿	kmvuov
夼	kmvuui
匡	kmvvvi
框	kmvvvv
恳	knavoa
垦	knavvo
龈	knivav
肯	knivuu
裉	knoaav
啃	knoivi
硍	knvuav
钪	kpioov
伉	kpiovu
抗	kpiuov
扛	kpiuvi
闶	kpoiov
慷	kpooov
炕	kpouov
糠	kpouov
康	kpovav
亢	kpovua
𩾌	kpuaov
𡐓	kpvoov
姱	kqauvu
挎	kqiuvu
侉	kqivuo
跨	kqoivu
胯	kquvuo
垮	kqvovu
夸	kqvuvv
铿	krioii
吭	kroovu
坑	krvoov
硁	krvuao
佧	ksiivv
卡	ksivvi
咖	ksoauo
咔	ksoivv
喀	ksoooa
咯	ksouao
胩	ksuivv
髋	ktiaoo
宽	ktooii
款	ktvoua
困	kwiavv
锟	kwiooi
捆	kwiuia
裈	kwoaoa
阃	kwoiia
鹍	kwoiua
昆	kwoiva
悃	kwooia
焜	kwouoi
堃	kwovvo
鲲	kwuaoi
剋	kwuoii
醌	kwvioi
髡	kwvivu
坤	kwvoia
壸	kwvovi
琨	kwvvoi
纩	kxaaov
贶	kxaoou
洭	kxavvv
眶	kxiavv
诳	kxoaua
诓	kxoavv
旷	kxoiov
邝	kxovai
况	kxovou
哐	kxovvv
狂	kxuavv
筐	kxuvvv
圹	kxvoov
矿	kxvuov
夼	kxvuui
匡	kxvvvi
框	kxvvvv
孔	kyaiaa
崆	kyiaoo
倥	kyiooa
控	kyiuoo
空	kyoovi
箜	kyuvoo
恐	kyvioa
埪	kyvooo
硿	kyvuoo
洘	kzauov
尻	kzavua
铐	kziouo
拷	kziuuo
烤	kzouuo
㸆	kzouuv
考	kzuova
靠	kzuviv
犒	kzuvov
栲	kzvuov
潾	lbaouv
淋	lbavvv
嶙	lbiaou
瞵	lbiaou
蔺	lbiioi
临	lbiiuv
邻	lbioai
赁	lbiuao
拎	lbiuio
躏	lboiii
懔	lbooov
粼	lbouaa
翷	lbouao
遴	lbouoa
燐	lbouou
吝	lbovoo
麟	lbovou
凛	lbovov
廪	lbovov
啉	lbovvv
鳞	lbuaou
膦	lbuouv
箖	lbuvvv
辚	lbvaou
檩	lbvovi
霖	lbvovv
磷	lbvuou
璘	lbvvou
林	lbvvv
琳	lbvvvv
漻	lcaaov
缭	lcaavu
了	lcaii
辽	lcaioa
嫽	lcauvu
潦	lcavuo
髎	lciaao
瞭	lciavu
蓼	lciiao
钌	lcioai
镣	lciovu
撂	lciuia
撩	lciuvu
僚	lcivuo
蹽	lcoivu
寥	lcooao
寮	lcoovu
憭	lcoovu
料	lcouoo
燎	lcouvu
疗	lcovai
廖	lcovao
嘹	lcovuo
獠	lcuavu
簝	lcuvvu
聊	lcviua
尥	lcvuua
鹩	lcvuua
橑	lcvvuo
漏	ldaa
漏	ldaavu
陋	ldaivi
溇	ldaouv
洌	ldavua
䁖	ldiaou
嵝	ldiaou
蝼	ldiaou
髅	ldiaou
蒌	ldiiou
镂	ldioou
偻	ldiouv
劣	ldiuau
捩	ldiuoa
搂	ldiuou
躐	ldoiaa
喽	ldoouv
娄	ldouau
瘘	ldovou
咧	ldovua
冽	ldovvu
猎	lduavi
脟	lduuoo
篓	lduvou
鬣	ldviaa
剅	ldvoii
露	ldvooi
埒	ldvouo
楼	ldvouv
趔	ldvovu
列	ldvuii
烈	ldvuoo
裂	ldvuov
䴕	ldvuua
耧	ldvvou
泐	leaaia
了	leaii
仂	leiauu
叻	leoauu
嘞	leovii
乐	leuaiu
饹	leuaua
肋	leuauu
鳓	leuavi
簕	leuvvi
勒	leviau
砳	levuvu
缆	lfaaii
滥	lfaiiu
澜	lfaoia
漤	lfavva
岚	lfiaua
罱	lfiauo
览	lfiiia
蓝	lfiiii
镧	lfiooi
揽	lfiuii
拦	lfiuou
褴	lfoaii
襕	lfoaoi
谰	lfoaoi
阑	lfoivi
懒	lfoovi
烂	lfouou
兰	lfouvv
斓	lfovoi
啉	lfovvv
篮	lfuvii
榄	lfviiu
栏	lfvouv
婪	lfvvau
绫	lgaavo
泠	lgaioa
陵	lgaivo
姈	lgauio
澪	lgavoa
灵	lgavou
囹	lgiaio
岭	lgiaio
蛉	lgiaio
崚	lgiavo
苓	lgiiio
伶	lgiioa
菱	lgiivo
令	lgioao
翎	lgioao
铃	lgioio
鸰	lgioua
瓴	lgiova
领	lgiovu
龄	lgivio
另	lgoauu
祾	lgoavo
昤	lgoiio
呤	lgoioa
〇	lgoo
㥄	lgoovo
羚	lgouio
凌	lgovvo
鲮	lguavo
舲	lguuio
棂	lgvavv
聆	lgviio
柃	lgvioa
酃	lgvoai
坽	lgvoio
零	lgvoio
玲	lgvvio
棱	lgvvou
濑	lhavia
涞	lhavou
略	lhiaua
圙	lhiauo
崃	lhiavo
睐	lhiavo
莱	lhiivo
锊	lhiouo
铼	lhiovo
掠	lhiuov
俩	lhivia
俫	lhivou
癞	lhovvi
徕	lhuuvo
籁	lhuvvi
赖	lhviua
赉	lhvoao
来	lhvouv
梾	lhvvou
䂮	lhvvvu
绿	ljaaav
渌	ljaavv
泸	ljaiva
陆	ljaivv
勠	ljaoau
潞	ljaoiv
赂	ljaoua
戮	ljaova
漉	ljaovu
澛	ljauai
录	ljavao
逯	ljavoa
僇	ljiaov
蓼	ljiiao
菉	ljiiav
芦	ljiioa
蕗	ljiioi
镥	ljioua
掳	ljiuiv
撸	ljiuua
虏	ljivau
卢	ljivav
卤	ljivia
鸬	ljivua
颅	ljivvu
禄	ljoaav
路	ljoiua
鹭	ljoiua
噜	ljouai
炉	ljouoa
庐	ljovoa
六	ljovuo
鹿	ljovva
鲈	ljuaiv
鲁	ljuaoi
胪	ljuiva
甪	ljuuav
舻	ljuuiv
箓	ljuvav
簏	ljuvov
氇	ljuvua
稑	ljuvvo
轳	ljvaiv
辘	ljvaov
辂	ljvaua
栌	ljviva
垆	ljvoiv
露	ljvooi
橹	ljvuai
碌	ljvuav
琭	ljvvav
璐	ljvvoi
麓	ljvvov
蠡	lkaaia
缡	lkaaov
骊	lkaavi
浬	lkaiav
澧	lkaiav
漓	lkaovu
娌	lkauia
力	lkauu
浰	lkauvi
溧	lkavia
沥	lkavua
隶	lkavvi
罹	lkiaoo
詈	lkiaov
蜊	lkiauv
峛	lkiavu
蛎	lkiavu
里	lkiavv
荔	lkiiau
俚	lkiiav
莅	lkiiio
蓠	lkiiov
莉	lkiiuv
藜	lkiiuv
苈	lkiivu
锂	lkioia
俐	lkiuvi
俪	lkivia
傈	lkivia
例	lkivua
礼	lkoaaa
戾	lkoavu
哩	lkoiav
跞	lkoiua
唳	lkooav
粒	lkouov
粝	lkouvu
离	lkovia
立	lkovou
呖	lkovua
喱	lkovui
痢	lkovuv
疠	lkovva
凓	lkovvi
疬	lkovvu
狸	lkuaia
鲤	lkuaia
鳢	lkuaia
猁	lkuauv
鲡	lkuavi
黎	lkuvia
黧	lkuvia
利	lkuvii
笠	lkuvov
篱	lkuvov
犁	lkuvuv
篥	lkuvvi
梨	lkuvvv
李	lkvaiv
轹	lkvaua
朸	lkvauu
郦	lkviai
丽	lkviao
吏	lkviav
醴	lkviia
逦	lkvioa
醨	lkviov
鹂	lkviua
栗	lkvivv
鬲	lkvoia
坜	lkvovu
雳	lkvovu
栎	lkvuai
励	lkvuau
历	lkvuau
厘	lkvuia
砬	lkvuov
砾	lkvuua
厉	lkvuva
㰀	lkvuvi
砺	lkvuvu
珕	lkvvau
理	lkvvia
璃	lkvvov
枥	lkvvua
嫠	lkvvvu
釐	lkvvvu
绿	llaaav
骡	llaaia
驴	llaaoa
缕	llaaou
络	llaaua
骆	llaaua
漯	llaiav
滤	llaiva
泺	llauai
洛	llauao
屡	llavou
履	llavuu
螺	lliaia
逻	lliaoa
罗	lliaua
落	lliiau
倮	lliiav
萝	lliiia
葎	lliiuu
蓏	lliiuu
荦	lliiuv
锣	llioia
镙	llioia
侣	lliooo
铝	lliooo
偻	lliouv
摞	lliuia
捋	lliuuo
虑	llivoa
裸	lloaia
褛	lloaou
啰	lloiai
闾	lloioo
跞	lloiua
吕	llooo
咯	llouao
烙	llouua
率	llovaa
瘰	llovia
蠃	llovou
膂	llovuu
旅	llovuv
猡	lluaia
雒	lluaio
脶	lluoia
𦝼	lluouv
律	lluuav
氯	lluvav
箩	lluvia
稆	lluvoo
椤	llviai
垏	llvoav
榈	llvoia
梠	llvooo
硌	llvuua
珞	llvvua
练	lmaava
潋	lmaivo
濂	lmaovu
涟	lmavav
蠊	lmiaov
莶	lmiiiv
蔹	lmiiiv
莲	lmiiva
镰	lmioov
链	lmiova
敛	lmivuv
裣	lmoaiv
裢	lmoava
帘	lmooia
怜	lmooio
炼	lmouva
恋	lmovoa
廉	lmovou
鲢	lmuava
脸	lmuivo
臁	lmuovu
连	lmvaoa
联	lmviou
殓	lmvuiv
磏	lmvuou
奁	lmvuvu
梿	lmvvav
楝	lmvvia
琏	lmvvva
瑓	lmvvvi
浪	lpaoav
崀	lpiaoa
螂	lpiaoa
蒗	lpiiao
莨	lpiioa
蓢	lpiioa
锒	lpiooa
郎	lpoaai
朗	lpoauu
塱	lpoavo
㮾	lpoavv
㫰	lpoioa
阆	lpoioa
啷	lpooav
烺	lpouoa
廊	lpovoa
狼	lpuaoa
稂	lpuvoa
筤	lpuvoa
桹	lpvoav
榔	lpvoav
埌	lpvooa
琅	lpvvoa
绺	lqaaua
骝	lqaaua
陆	lqaivv
鎏	lqaoio
鹨	lqaoua
流	lqaova
浏	lqaovu
瑬	lqaovv
溜	lqauao
疁	lqiaao
罶	lqiaua
镠	lqioao
锍	lqioov
镏	lqioua
熘	lqouua
刘	lqovii
瘤	lqovua
六	lqovuo
旒	lqovuv
留	lquaia
遛	lquaoa
飗	lquaua
馏	lquaua
鹠	lquaua
榴	lqvuao
柳	lqvuau
硫	lqvuov
琉	lqvvov
珋	lqvvua
愣	lrooia
冷	lrovio
楞	lrviai
塄	lrvoia
堎	lrvovo
棱	lrvvou
邋	lsaaoa
蜡	lsiavi
蝲	lsiavi
落	lsiiau
镴	lsioaa
拉	lsiuov
俩	lsivia
旯	lsoiua
啦	lsoiuo
喇	lsovia
瘌	lsovvi
辣	lsovvi
腊	lsuvii
剌	lsviii
鞡	lsviiu
垃	lsvoov
砬	lsvuov
滦	ltaovi
孪	ltovai
娈	ltovau
峦	ltovia
脔	ltovia
銮	ltovio
挛	ltoviu
鸾	ltovua
栾	ltovvv
卵	ltuaai
乱	ltuvaa
缧	lwaaia
纶	lwaaiu
泪	lwaiav
漯	lwaiav
沦	lwaiua
垒	lwaovo
嫘	lwauia
累	lwiaaa
囵	lwiaiu
罍	lwiauv
儡	lwiiav
藟	lwiiia
伦	lwiiua
蕾	lwiivo
镭	lwiovo
仑	lwiuaa
抡	lwiuiu
擂	lwiuvo
论	lwoaiu
诔	lwoavv
类	lwouvu
嘞	lwovii
羸	lwovou
癗	lwovvo
肋	lwuauu
轮	lwvaiu
勒	lwviau
酹	lwviuo
雷	lwvoia
礌	lwvuvo
磊	lwvuvu
檑	lwvvoa
耒	lwvvvi
粱	lxaaou
梁	lxaavv
莨	lxiioa
俍	lxioav
倞	lxiovo
俩	lxivia
谅	lxoaov
良	lxoavv
量	lxoiia
踉	lxoioa
晾	lxoiov
悢	lxoooa
粮	lxouoa
凉	lxovov
亮	lxovua
魉	lxuivi
辌	lxvaov
辆	lxvavi
两	lxviau
墚	lxvoaa
椋	lxvovo
靓	lxvvia
漋	lyaaiu
隆	lyaiua
陇	lyaivu
泷	lyavua
眬	lyiavu
茏	lyiivu
拢	lyiuvu
昽	lyoivu
窿	lyooai
癃	lyovai
咙	lyovua
哢	lyovvi
胧	lyuvua
笼	lyuvvu
垅	lyvovu
尨	lyvuau
龙	lyvuau
聋	lyvuvi
垄	lyvuvo
砻	lyvuvu
栊	lyvvua
弄	lyvvvu
珑	lyvvvu
络	lzaaua
涝	lzaiio
嫪	lzauao
姥	lzauuo
潦	lzavuo
崂	lziaii
劳	lziiau
落	lziiau
荖	lziiuo
铹	lzioii
铑	lziouo
捞	lziuii
佬	lziuov
唠	lzoiio
牢	lzoouv
烙	lzouua
痨	lzovii
老	lzuoua
醪	lzviao
酪	lzviua
栳	lzvuov
耢	lzvvii
缗	mbaaav
泯	mbaava
湣	mbaava
民	mbavav
愍	mbavoa
岷	mbiaav
皿	mbiaii
苠	mbiiav
抿	mbiuav
黾	mboiav
闽	mboiia
旻	mboiov
闵	mboiov
悯	mboooi
忞	mbovoa
慜	mbuvoa
鳘	mbuvua
敏	mbuvuv
碈	mbvuua
珉	mbvvav
玟	mbvvov
淼	mcaaaa
缪	mcaaao
缈	mcaaia
渺	mcaiav
妙	mcauiu
瞄	mciaii
眇	mciaiu
苗	mciiia
鹋	mciiua
藐	mciiuo
描	mciuii
喵	mcoiii
庙	mcovia
邈	mcuooa
秒	mcuviu
杪	mcviuo
乜	mdaaa
鍪	mdaoio
牟	mdaouv
眸	mdiaao
蛑	mdiaao
蠛	mdiaii
侔	mdiaou
蔑	mdiiia
哞	mdoaou
谋	mdoavi
咩	mdoouv
篾	mduvia
某	mdvivv
灭	mdvoui
麽	meovua
么	meuaoo
缦	mfaaoi
满	mfaiiv
漫	mfaoii
嫚	mfauoi
瞒	mfiaii
螨	mfiaii
幔	mfiaoi
蔓	mfiioi
颟	mfiivu
镘	mfiooi
谩	mfoaoi
曼	mfoiia
慢	mfoooi
熳	mfouoi
蛮	mfovia
馒	mfuaoi
鳗	mfuaoi
鬘	mfvioi
鞔	mfviua
埋	mfvoia
墁	mfvooi
溟	mgaoao
洺	mgauao
瞑	mgiaoa
螟	mgiaoa
蓂	mgiioa
茗	mgiiua
铭	mgioua
命	mgivoa
冥	mgoaoi
暝	mgoioa
明	mgoiuu
鸣	mgouao
名	mguaoo
酩	mgviua
买	mhaoov
荬	mhiiao
唛	mhovvi
脉	mhuoaa
卖	mhuoao
劢	mhvaau
迈	mhvaoa
埋	mhvoia
霾	mhvouo
麦	mhvvua
母	mjaaov
牟	mjaouv
姆	mjauaa
姥	mjauuo
沐	mjavv
睦	mjiavo
目	mjiavv
募	mjiiau
幕	mjiiia
苜	mjiiia
慕	mjiiiu
暮	mjiioi
墓	mjiivo
钼	mjioia
拇	mjiuaa
仫	mjiuao
呣	mjoaao
𧿹	mjoiaa
亩	mjovia
毪	mjuvao
穆	mjuvui
牧	mjuvuv
牡	mjuvvo
模	mjviio
坶	mjvoaa
木	mjvv
糸	mkaaiu
泌	mkaoao
汨	mkaoii
洣	mkaouv
弥	mkavua
弭	mkavvi
眯	mkiaou
蘼	mkiiov
芈	mkivvv
幂	mkoaia
祕	mkoaoa
谧	mkoaoa
谜	mkoaou
祢	mkoaua
密	mkooia
蜜	mkooia
嘧	mkoooa
宓	mkoooa
咪	mkoouv
迷	mkouoa
敉	mkouuv
米	mkouvv
縻	mkovaa
靡	mkoviv
糜	mkovou
麋	mkovou
猕	mkuaav
觅	mkuoia
脒	mkuouv
秘	mkuvoa
醚	mkviou
醾	mkviov
漠	mlaiio
陌	mlaivu
没	mlauaa
嫫	mlauii
嬷	mlauov
沫	mlavvi
冒	mliaia
墨	mliavo
默	mliavu
蓦	mliiaa
摹	mliiiu
莫	mliioi
藦	mliiov
蘑	mliiov
茉	mliivv
镆	mlioii
摸	mliuii
抹	mliuvv
谟	mloaii
嗼	mloiio
寞	mlooii
瘼	mlovii
摩	mloviu
麽	mlovua
魔	mlovui
磨	mlovvu
馍	mluaii
么	mluaoo
膜	mluiio
脉	mluoaa
貘	mluoii
貉	mluoua
貊	mluovu
秣	mluvvv
万	mlvauu
模	mlviio
靺	mlvivv
殁	mlvuua
末	mlvviu
耱	mlvvov
无	mlvvua
绵	mmaaui
缅	mmaavu
渑	mmaoia
娩	mmauua
沔	mmavia
湎	mmavui
眠	mmiaav
冕	mmiaua
眄	mmiavi
偭	mmivui
黾	mmoiav
愐	mmoovu
勉	mmuaau
免	mmuaia
𩾃	mmuaua
腼	mmuvui
丏	mmviaa
勔	mmvuau
棉	mmvuia
面	mmvuia
懑	mnaioa
汶	mnaovu
们	mnioia
钔	mniooi
扪	mniuoi
门	mnoiaa
闷	mnoioa
焖	mnouoi
鞔	mnviua
漭	mpaiiv
蟒	mpiaii
茫	mpiiao
芒	mpiiov
莽	mpiivu
忙	mpooov
邙	mpovai
氓	mpovav
盲	mpovia
牤	mpuvov
牻	mpuvvu
杧	mpvova
硭	mpvuii
厖	mpvuvu
缪	mqaaao
谬	mqoaao
勐	mraiau
孟	mraiia
濛	mraiio
